"","MAT_hist","Tfal_hist","Twin_hist","Tspr_hist","Tsum_hist","MAT_exp","Tfal_exp","Twin_exp","Tspr_exp","Tsum_exp","MAP_hist","PPT_at_hist","PPT_wt_hist","PPT_sp_hist","PPT_sm_hist","MAP_exp","PPT_at_exp","PPT_wt_exp","PPT_sp_exp","PPT_sm_exp"
"MAT_hist",1,0.970947723976766,0.687155520572551,0.857023410853907,0.724206168721227,0.712311320138026,0.701918667305114,0.601579186937088,0.275142790373067,0.246207374605203,0.203782002313171,0.228527764970363,0.22397422752808,0.295309022839933,-0.0764223471165816,0.247496360238684,0.275735019497487,0.281194875606255,0.338271097392034,-0.836877600833765
"Tfal_hist",0.970947723976766,1,0.8302556408259,0.729875995189038,0.541245922657459,0.679612896529451,0.746046657418335,0.736405633772989,0.0547925845257189,0.0514044107858513,0.297098696908792,0.33580006014298,0.334036975959996,0.372242059208665,-0.0406933822357595,0.339494974015034,0.36788365331812,0.371069666528,0.429439817890872,-0.798200108243028
"Twin_hist",0.687155520572551,0.8302556408259,1,0.22653832868637,0.00540881061945994,0.618072929773679,0.821499391480255,0.954275262654671,-0.37598476499341,-0.240903233262366,0.473431432570043,0.526292540790511,0.52710499273915,0.515862587271048,0.0909274921171048,0.509462283924845,0.495507551048069,0.533019917212788,0.604786993760276,-0.50479512435767
"Tspr_hist",0.857023410853907,0.729875995189038,0.22653832868637,1,0.943072635853627,0.438587627740906,0.301998949057759,0.114992445360265,0.568254859345441,0.400289174320946,-0.0537423253469013,-0.0511521199953107,-0.0577161242258034,0.0286870694368299,-0.174112629792929,-0.0235197108254236,0.0412839865223103,0.00252854044038595,0.0228588637981054,-0.794262088293576
"Tsum_hist",0.724206168721227,0.541245922657459,0.00540881061945994,0.943072635853627,1,0.475648833575146,0.25655785191207,-0.0404181674356172,0.777965346510186,0.647267585649872,-0.193146976900392,-0.213102577350985,-0.221133883830302,-0.096432385586765,-0.212096567790372,-0.164440525671106,-0.130220028983225,-0.137769045198984,-0.115767107009801,-0.664852855085824
"MAT_exp",0.712311320138026,0.679612896529451,0.618072929773679,0.438587627740906,0.475648833575146,1,0.945196230891426,0.712504970053047,0.396007079070358,0.589673078727436,0.226500925289817,0.220832806053499,0.216971971505302,0.341407879874775,0.0373537525113548,0.277426277659436,0.214120730522747,0.309859581374556,0.398277827682978,-0.497306445547411
"Tfal_exp",0.701918667305114,0.746046657418335,0.821499391480255,0.301998949057759,0.25655785191207,0.945196230891426,1,0.900774653047221,0.079078422872478,0.300132078299382,0.311922691291816,0.329346351343041,0.328072329888766,0.406144585940725,0.0311960625726372,0.36671875945375,0.302417380305668,0.399248425615311,0.491777910601013,-0.478669640699148
"Twin_exp",0.601579186937088,0.736405633772989,0.954275262654671,0.114992445360265,-0.0404181674356172,0.712504970053047,0.900774653047221,1,-0.346421567866358,-0.14176814357882,0.366200543221083,0.412787970335159,0.416231729167126,0.416201379944986,0.00505879696112614,0.425983220054967,0.377834309881181,0.454565245632566,0.530488192182061,-0.394361069933
"Tspr_exp",0.275142790373067,0.0547925845257189,-0.37598476499341,0.568254859345441,0.777965346510186,0.396007079070358,0.079078422872478,-0.346421567866358,1,0.931577821442933,-0.177266699263434,-0.23961011072766,-0.247150710649084,-0.0903533841276459,0.0111428129653901,-0.188350200068591,-0.177414805413808,-0.183247638512835,-0.170739645131123,-0.28129918901612
"Tsum_exp",0.246207374605203,0.0514044107858513,-0.240903233262366,0.400289174320946,0.647267585649872,0.589673078727436,0.300132078299382,-0.14176814357882,0.931577821442933,1,-0.0751750512044124,-0.139670559270844,-0.149157250542838,0.0266773091233414,0.0881308160688124,-0.0717005524762444,-0.119454480113425,-0.0596866736789595,-0.0221635189561563,-0.165217061494142
"MAP_hist",0.203782002313171,0.297098696908792,0.473431432570043,-0.0537423253469013,-0.193146976900392,0.226500925289817,0.311922691291816,0.366200543221083,-0.177266699263434,-0.0751750512044124,1,0.996534082064072,0.995634178660987,0.991086585628007,0.916456476281805,0.986949948965236,0.979573273112684,0.980100489871282,0.964054344648503,0.134801961262151
"PPT_at_hist",0.228527764970363,0.33580006014298,0.526292540790511,-0.0511521199953107,-0.213102577350985,0.220832806053499,0.329346351343041,0.412787970335159,-0.23961011072766,-0.139670559270844,0.996534082064072,1,0.999083794344172,0.985349365814176,0.884641197683949,0.987370505532512,0.982726730104193,0.981659117706643,0.968711271017309,0.101616835779022
"PPT_wt_hist",0.22397422752808,0.334036975959996,0.52710499273915,-0.0577161242258034,-0.221133883830302,0.216971971505302,0.328072329888766,0.416231729167126,-0.247150710649084,-0.149157250542838,0.995634178660987,0.999083794344172,1,0.982105851263229,0.883206089170439,0.985474585724046,0.982961987278694,0.979421233377597,0.962447332597928,0.114149385465652
"PPT_sp_hist",0.295309022839933,0.372242059208665,0.515862587271048,0.0286870694368299,-0.096432385586765,0.341407879874775,0.406144585940725,0.416201379944986,-0.0903533841276459,0.0266773091233414,0.991086585628007,0.985349365814176,0.982105851263229,1,0.894789257950098,0.982736232622638,0.967634039338314,0.980298142197709,0.978229906177463,0.0515880488687902
"PPT_sm_hist",-0.0764223471165816,-0.0406933822357595,0.0909274921171048,-0.174112629792929,-0.212096567790372,0.0373537525113548,0.0311960625726372,0.00505879696112614,0.0111428129653901,0.0881308160688124,0.916456476281805,0.884641197683949,0.883206089170439,0.894789257950098,1,0.88236975124966,0.871115470302129,0.864687707072896,0.821037416433131,0.384460916815247
"MAP_exp",0.247496360238684,0.339494974015034,0.509462283924845,-0.0235197108254236,-0.164440525671106,0.277426277659436,0.36671875945375,0.425983220054967,-0.188350200068591,-0.0717005524762444,0.986949948965236,0.987370505532512,0.985474585724046,0.982736232622638,0.88236975124966,1,0.984135950955151,0.998623338974717,0.984313760782375,0.112721685506264
"PPT_at_exp",0.275735019497487,0.36788365331812,0.495507551048069,0.0412839865223103,-0.130220028983225,0.214120730522747,0.302417380305668,0.377834309881181,-0.177414805413808,-0.119454480113425,0.979573273112684,0.982726730104193,0.982961987278694,0.967634039338314,0.871115470302129,0.984135950955151,1,0.978162792677658,0.954019928088256,0.0438824523456091
"PPT_wt_exp",0.281194875606255,0.371069666528,0.533019917212788,0.00252854044038595,-0.137769045198984,0.309859581374556,0.399248425615311,0.454565245632566,-0.183247638512835,-0.0596866736789595,0.980100489871282,0.981659117706643,0.979421233377597,0.980298142197709,0.864687707072896,0.998623338974717,0.978162792677658,1,0.988508317796974,0.0924867308385675
"PPT_sp_exp",0.338271097392034,0.429439817890872,0.604786993760276,0.0228588637981054,-0.115767107009801,0.398277827682978,0.491777910601013,0.530488192182061,-0.170739645131123,-0.0221635189561563,0.964054344648503,0.968711271017309,0.962447332597928,0.978229906177463,0.821037416433131,0.984313760782375,0.954019928088256,0.988508317796974,1,0.00696726326557591
"PPT_sm_exp",-0.836877600833765,-0.798200108243028,-0.50479512435767,-0.794262088293576,-0.664852855085824,-0.497306445547411,-0.478669640699148,-0.394361069933,-0.28129918901612,-0.165217061494142,0.134801961262151,0.101616835779022,0.114149385465652,0.0515880488687902,0.384460916815247,0.112721685506264,0.0438824523456091,0.0924867308385675,0.00696726326557591,1
