,MAT_hist,Tfal_hist,Twin_hist,Tspr_hist,Tsum_hist,MAT_exp,Tfal_exp,Twin_exp,Tspr_exp,Tsum_exp
MAP_hist,0.204,0.297,0.473,-0.054,-0.193,0.227,0.312,0.366,-0.177,-0.075
PPT_at_hist,0.229,0.336,0.526,-0.051,-0.213,0.221,0.329,0.413,-0.240,-0.140
PPT_wt_hist,0.224,0.334,0.527,-0.058,-0.221,0.217,0.328,0.416,-0.247,-0.149
PPT_sp_hist,0.295,0.372,0.516,0.029,-0.096,0.341,0.406,0.416,-0.090,0.027
PPT_sm_hist,-0.076,-0.041,0.091,-0.174,-0.212,0.037,0.031,0.005,0.011,0.088
MAP_exp,0.247,0.339,0.509,-0.024,-0.164,0.277,0.367,0.426,-0.188,-0.072
PPT_at_exp,0.276,0.368,0.496,0.041,-0.130,0.214,0.302,0.378,-0.177,-0.119
PPT_wt_exp,0.281,0.371,0.533,0.003,-0.138,0.310,0.399,0.455,-0.183,-0.060
PPT_sp_exp,0.338,0.429,0.605,0.023,-0.116,0.398,0.492,0.530,-0.171,-0.022
PPT_sm_exp,-0.837,-0.798,-0.505,-0.794,-0.665,-0.497,-0.479,-0.394,-0.281,-0.165
