"region","site","block","plot","net","water","fruits","buds_notincl","flowers_incl","damage","exclude_net_off","blocksite","MAT_hist","Tfal_hist","Twin_hist","Tspr_hist","Tsum_hist","MAP_hist","PPT_at_hist","PPT_wt_hist","PPT_sp_hist","PPT_sm_hist","MAT_exp","Tfal_exp","Twin_exp","Tspr_exp","Tsum_exp","MAP_exp","PPT_at_exp","PPT_wt_exp","PPT_sp_exp","PPT_sm_exp","plants_transect","plants_plot_siteavg","flower_plant_siteavg","flower_plant_control_siteavg","flower_density_plots_siteavg","flower_density_transects_siteavg","plant_count_plot","plant_size_plot","flowers_plant_control","fruits_per_plot","avgseedsplot","totalseeds"
"Center","Abel's Ridge","1","C","no","no",1,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,5,3.2,2.36842105263158,11.8421052631579,38.75,39
"Center","Abel's Ridge","1","C","no","no",2,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,5,3.2,2.36842105263158,11.8421052631579,38.75,78
"Center","Abel's Ridge","1","C","no","no",3,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,5,3.2,2.36842105263158,11.8421052631579,38.75,116
"Center","Abel's Ridge","1","C","no","no",3,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,5,3.2,2.36842105263158,11.8421052631579,38.75,116
"Center","Abel's Ridge","1","C","no","no",7,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,5,3.2,2.36842105263158,11.8421052631579,38.75,271
"Center","Abel's Ridge","1","PW","yes","yes",1,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,11,2.45454545454545,2.36842105263158,26.0526315789474,8.25,8
"Center","Abel's Ridge","1","PW","yes","yes",1,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,11,2.45454545454545,2.36842105263158,26.0526315789474,8.25,8
"Center","Abel's Ridge","1","PW","yes","yes",1,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,11,2.45454545454545,2.36842105263158,26.0526315789474,8.25,8
"Center","Abel's Ridge","1","PW","yes","yes",1,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,11,2.45454545454545,2.36842105263158,26.0526315789474,8.25,8
"Center","Abel's Ridge","1","PW","yes","yes",2,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,11,2.45454545454545,2.36842105263158,26.0526315789474,8.25,16
"Center","Abel's Ridge","1","PW","yes","yes",2,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,11,2.45454545454545,2.36842105263158,26.0526315789474,8.25,16
"Center","Abel's Ridge","1","PW","yes","yes",2,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,11,2.45454545454545,2.36842105263158,26.0526315789474,8.25,16
"Center","Abel's Ridge","1","PW","yes","yes",3,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,11,2.45454545454545,2.36842105263158,26.0526315789474,8.25,25
"Center","Abel's Ridge","1","PW","yes","yes",4,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,11,2.45454545454545,2.36842105263158,26.0526315789474,8.25,33
"Center","Abel's Ridge","1","PW","yes","yes",5,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,11,2.45454545454545,2.36842105263158,26.0526315789474,8.25,41
"Center","Abel's Ridge","1","PW","yes","yes",5,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,11,2.45454545454545,2.36842105263158,26.0526315789474,8.25,41
"Center","Abel's Ridge","1","W","no","yes",1,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,8,3.42857142857143,2.36842105263158,18.9473684210526,29.25,29
"Center","Abel's Ridge","1","W","no","yes",2,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,8,3.42857142857143,2.36842105263158,18.9473684210526,29.25,58
"Center","Abel's Ridge","1","W","no","yes",2,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,8,3.42857142857143,2.36842105263158,18.9473684210526,29.25,58
"Center","Abel's Ridge","1","W","no","yes",2,NA,NA,"","","Abel's Ridge 1",7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.80749994516373,9.46000003814698,2.34999998410543,7.78666655222575,19.3249998092652,731.649995803833,207.33999633789,302.589996337891,165.020004272461,45.689998626709,0.5,6.04545454545455,3.11570247933884,2.36842105263158,14.3181818181818,1.18421052631579,8,3.42857142857143,2.36842105263158,18.9473684210526,29.25,58
