region,site,block,plot,water,net,fruit,seeds,exclude_seeds_estimated,blocksite,MAT_hist,MAP_hist,Tsum_exp,PPT_sm_exp
Center,Abel's Ridge,1,C,no,no,1,36,,Abel's Ridge 1,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,1,C,no,no,2,65,,Abel's Ridge 1,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,1,C,no,no,3,26,,Abel's Ridge 1,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,1,C,no,no,4,28,,Abel's Ridge 1,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,1,PW,yes,yes,1,17,,Abel's Ridge 1,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,1,PW,yes,yes,2,15,,Abel's Ridge 1,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,1,PW,yes,yes,3,1,,Abel's Ridge 1,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,1,PW,yes,yes,4,0,,Abel's Ridge 1,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,1,W,yes,no,1,54,,Abel's Ridge 1,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,1,W,yes,no,2,40,,Abel's Ridge 1,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,1,W,yes,no,3,10,,Abel's Ridge 1,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,1,W,yes,no,4,13,,Abel's Ridge 1,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,2,C,no,no,1,45,,Abel's Ridge 2,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,2,C,no,no,2,39,,Abel's Ridge 2,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,2,PW,yes,yes,1,3,,Abel's Ridge 2,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,2,PW,yes,yes,2,0,,Abel's Ridge 2,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,2,PW,yes,yes,3,0,,Abel's Ridge 2,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,2,PW,yes,yes,4,0,,Abel's Ridge 2,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,2,W,yes,no,1,16,,Abel's Ridge 2,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,2,W,yes,no,2,23,,Abel's Ridge 2,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,2,W,yes,no,3,30,,Abel's Ridge 2,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,2,W,yes,no,4,0,,Abel's Ridge 2,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,C,no,no,1,29,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,C,no,no,2,32,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,C,no,no,3,41,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,C,no,no,4,22,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,P,no,yes,1,5,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,P,no,yes,2,4,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,P,no,yes,3,0,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,PW,yes,yes,1,6,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,PW,yes,yes,2,0,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,PW,yes,yes,3,3,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,PW,yes,yes,4,3,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,W,yes,no,1,24,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,W,yes,no,2,22,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,W,yes,no,3,20,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,3,W,yes,no,4,34,,Abel's Ridge 3,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,4,C,no,no,1,39,,Abel's Ridge 4,7.042,788.28,19.32499981,45.68999863
