region,site,block,plot,net,water,plantcount_2015,plantcount_2016_inner,plantcount_2016_total,total,blocksite
Center,Abel's Ridge,2,C,no,no,4,0,0,168,Abel's Ridge2
Center,Abel's Ridge,2,PW,yes,yes,5,0,1,11,Abel's Ridge2
Center,Abel's Ridge,2,W,no,yes,7,1,6,413,Abel's Ridge2
Center,Abel's Ridge,3,C,no,no,6,5,9,527,Abel's Ridge3
Center,Abel's Ridge,3,P,yes,no,3,0,0,21,Abel's Ridge3
Center,Abel's Ridge,3,PW,yes,yes,6,0,2,27,Abel's Ridge3
Center,Abel's Ridge,3,W,no,yes,6,0,6,275,Abel's Ridge3
Center,Abel's Ridge,4,C,no,no,9,5,16,465,Abel's Ridge4
Center,Abel's Ridge,4,P,yes,no,3,0,2,12,Abel's Ridge4
Center,Abel's Ridge,4,PW,yes,yes,4,0,0,32,Abel's Ridge4
Center,Abel's Ridge,4,W,no,yes,1,0,1,16,Abel's Ridge4
Center,Abel's Ridge,5,C,no,no,5,1,4,227,Abel's Ridge5
Center,Abel's Ridge,5,P,yes,no,3,0,7,6,Abel's Ridge5
Center,Abel's Ridge,5,PW,yes,yes,7,3,11,196,Abel's Ridge5
Center,Abel's Ridge,5,W,no,yes,6,5,11,528,Abel's Ridge5
Center,Abel's Ridge,6,PW,yes,yes,7,4,10,710,Abel's Ridge6
Center,Abel's Ridge,6,W,no,yes,4,6,11,272,Abel's Ridge6
Center,Government Trail Ridge,1,C,no,no,16,5,9,543,Government Trail Ridge1
Center,Government Trail Ridge,2,C,no,no,12,0,0,196,Government Trail Ridge2
Center,Government Trail Ridge,2,W,no,yes,20,2,3,495,Government Trail Ridge2
Center,Government Trail Ridge,3,C,no,no,14,9,32,440,Government Trail Ridge3
Center,Government Trail Ridge,3,W,no,yes,16,3,7,571,Government Trail Ridge3
Center,Government Trail Ridge,4,C,no,no,7,3,13,301,Government Trail Ridge4
Center,Government Trail Ridge,4,P,yes,no,14,0,5,81,Government Trail Ridge4
Center,Government Trail Ridge,4,PW,yes,yes,10,2,3,95,Government Trail Ridge4
Center,Government Trail Ridge,4,W,no,yes,20,11,15,684,Government Trail Ridge4
Center,Government Trail Ridge,5,C,no,no,12,0,18,782,Government Trail Ridge5
Center,Government Trail Ridge,5,W,no,yes,22,38,49,557,Government Trail Ridge5
Center,Government Trail Ridge,6,C,no,no,43,48,71,2973,Government Trail Ridge6
Center,Government Trail Ridge,6,P,yes,no,14,9,24,1293,Government Trail Ridge6
Center,Government Trail Ridge,6,W,no,yes,27,22,25,1830,Government Trail Ridge6
Center,Tucannon,1,C,no,no,8,14,22,554,Tucannon1
Center,Tucannon,1,P,yes,no,8,1,5,36,Tucannon1
Center,Tucannon,1,PW,yes,yes,8,1,4,99,Tucannon1
Center,Tucannon,1,W,no,yes,7,4,13,150,Tucannon1
Center,Tucannon,2,C,no,no,8,4,7,317,Tucannon2
Center,Tucannon,2,P,yes,no,10,2,12,230,Tucannon2
Center,Tucannon,2,PW,yes,yes,9,2,13,335,Tucannon2
Center,Tucannon,2,W,no,yes,8,5,13,1117,Tucannon2
Center,Tucannon,3,C,no,no,19,3,10,1855,Tucannon3
Center,Tucannon,3,P,yes,no,11,4,11,13,Tucannon3
Center,Tucannon,3,PW,yes,yes,23,8,16,191,Tucannon3
