Year,region,site,Latitude,Longitude,Elevation,Tave06,Tave07,PPT06,PPT07,MAT,MAP
1963,Center,Abel's Ridge,46.2844,117.59807,1441,12.4,14.8,32,20,7,593
1963,North,Blue Lake,49.04672,119.55738,852,15.1,16.9,51,28,7.2,403
1963,Center,Government Trail Ridge,46.24479,117.48715,1445,12,14.6,38,16,6.8,544
1963,North,Rock Creek,49.04469,119.04353,849,13.9,15.6,52,19,6.1,360
1963,Southwest,Leslie Gulch,43.29848,117.27058,1043,15.9,18.8,59,3,9.5,355
1963,Southwest,McKay Creek,44.46775,120.71079,1128,12.8,14.4,28,8,7.8,444
1963,Southwest,Highway 26,44.38361,120.52029,1134,13.5,15,30,9,7.9,430
1963,Center,Tucannon,46.23581,117.74268,1035,15,16.6,30,21,8.9,772
1964,Center,Abel's Ridge,46.2844,117.59807,1441,11.9,16.5,102,60,6,806
1964,North,Blue Lake,49.04672,119.55738,852,14.8,18.1,47,34,6.2,355
1964,Center,Government Trail Ridge,46.24479,117.48715,1445,11.4,16.3,113,52,5.8,768
1964,North,Rock Creek,49.04469,119.04353,849,13.6,16.7,54,27,5,356
1964,Southwest,Leslie Gulch,43.29848,117.27058,1043,15.2,20.7,64,10,7.9,380
1964,Southwest,McKay Creek,44.46775,120.71079,1128,12.1,16.5,47,14,6.7,437
1964,Southwest,Highway 26,44.38361,120.52029,1134,12.9,17.4,53,19,6.9,487
1964,Center,Tucannon,46.23581,117.74268,1035,14.6,18.4,108,60,8,1027
1965,Center,Abel's Ridge,46.2844,117.59807,1441,12.2,17,67,45,7,652
1965,North,Blue Lake,49.04672,119.55738,852,15.2,18.8,23,15,7,363
1965,Center,Government Trail Ridge,46.24479,117.48715,1445,11.7,16.8,63,35,6.8,602
1965,North,Rock Creek,49.04469,119.04353,849,14.1,17.8,23,20,6,327
1965,Southwest,Leslie Gulch,43.29848,117.27058,1043,16.2,19.7,63,1,8.8,267
1965,Southwest,McKay Creek,44.46775,120.71079,1128,13.3,16.8,49,19,7.7,346
1965,Southwest,Highway 26,44.38361,120.52029,1134,13.9,17.4,51,20,7.7,337
1965,Center,Tucannon,46.23581,117.74268,1035,14.9,18.9,87,50,9,825
1966,Center,Abel's Ridge,46.2844,117.59807,1441,11.3,15.8,49,34,7.5,693
1966,North,Blue Lake,49.04672,119.55738,852,13.6,17.2,25,42,7.2,426
1966,Center,Government Trail Ridge,46.24479,117.48715,1445,10.9,15.8,47,24,7.3,632
1966,North,Rock Creek,49.04469,119.04353,849,12.6,16.1,26,32,6.3,359
1966,Southwest,Leslie Gulch,43.29848,117.27058,1043,15.5,20,14,1,9.6,182
1966,Southwest,McKay Creek,44.46775,120.71079,1128,11.8,15.1,22,39,7.7,397
1966,Southwest,Highway 26,44.38361,120.52029,1134,12.8,15.8,22,40,7.9,396
1966,Center,Tucannon,46.23581,117.74268,1035,13.9,17.7,66,41,9.4,906
1967,Center,Abel's Ridge,46.2844,117.59807,1441,14.1,18.2,61,4,7.9,664
1967,North,Blue Lake,49.04672,119.55738,852,16.9,18.5,45,6,7.9,326
1967,Center,Government Trail Ridge,46.24479,117.48715,1445,13.7,18.1,65,3,7.7,609
1967,North,Rock Creek,49.04469,119.04353,849,15.9,17.6,38,7,6.9,286
1967,Southwest,Leslie Gulch,43.29848,117.27058,1043,16.8,22.7,46,16,9.8,305
1967,Southwest,McKay Creek,44.46775,120.71079,1128,14.3,17.5,54,1,8.2,313
1967,Southwest,Highway 26,44.38361,120.52029,1134,14.8,18.2,57,1,8.3,310
1967,Center,Tucannon,46.23581,117.74268,1035,16.9,20.2,64,5,9.8,864
1968,Center,Abel's Ridge,46.2844,117.59807,1441,12.8,18.2,42,17,7,790
1968,North,Blue Lake,49.04672,119.55738,852,14.3,18.8,35,10,6.6,352
1968,Center,Government Trail Ridge,46.24479,117.48715,1445,12.4,18,49,13,6.8,729
1968,North,Rock Creek,49.04469,119.04353,849,13.1,17.7,38,12,5.6,371
1968,Southwest,Leslie Gulch,43.29848,117.27058,1043,17.5,22,16,1,9.6,285
1968,Southwest,McKay Creek,44.46775,120.71079,1128,13.8,18,17,7,7.5,401
1968,Southwest,Highway 26,44.38361,120.52029,1134,14.5,18.7,18,6,7.7,397
1968,Center,Tucannon,46.23581,117.74268,1035,15.5,20.1,46,18,9,1021
1969,Center,Abel's Ridge,46.2844,117.59807,1441,14.7,16.1,50,7,6.4,748
1969,North,Blue Lake,49.04672,119.55738,852,17.9,17.5,22,11,6.2,370
